	mz	charged_formula	selectivity	neutral_formula_mass	ion_relation
C14H31O3_247.226806	247.226806	C14H31O3		C14H28O2_228.20893	M+H2O+H[1+]
H2ClNO2S_114.948928	114.948928	H2ClNO2S		ClH2NO2S_114.949477	M[1+]
C10H12N_146.096474	146.096474	C10H12N		C10H14N2_162.115698	M-NH3+H[1+]
C10H6N3O3S_248.012402	248.012402	C10H6N3O3S		C10H7N3O4S_265.015726	M-H2O+H[1+]
C9H10ClNaO2_209.033956	209.033956	C9H10ClNaO2		C9H10O2_150.06808	M+NaCl[1+]
C5H4N4O3_168.027791	168.027791	C5H4N4O3		C5H4N4O3_168.02834	M[1+]
C5H4ClN2S_158.977852	158.977852	C5H4ClN2S		C8H7ClN2O2S_229.991676	M-C3H4O2+H[1+]
C19H29O5_337.200865	337.200865	C19H29O5		C20H28O6_364.188589	M-CO+H[1+]
C7H15FKO5P_269.035035	269.035035	C7H15FKO5P		C6H14FO3P_184.066459	M+HCOOK[1+]
C18H32NO3_310.237705	310.237705	C18H32NO3		C18H29NO2_291.219829	M+H2O+H[1+]
C17H18NO2_268.133205	268.133205	C17H18NO2		C17H17NO2_267.125929	M+H[1+]
C4H5KNO4_169.984634	169.984634	C4H5KNO4		C4H5NO4_131.021858	M+K[1+]
C8H12KNO4_226.047555	226.047555	C8H12KNO4		C7H11NO2_141.078979	M+HCOOK[1+]
C14(C13)H14N4O2_283.114527	283.114527	C14(C13)H14N4O2		C15H14N4O2_282.111676	M(C13)[1+]
C16(C13)H21NO3_144.077223	144.077223	C16(C13)H21NO3		C17H19NO3_285.136493	M(C13)+2H[2+]
C30H54KNO7_580.36095	580.36095	C30H54KNO7		C29H53NO5_495.392374	M+HCOOK[1+]
C6H7ClNNaO3_200.008469	200.008469	C6H7ClNNaO3		C6H7NO3_141.042593	M+NaCl[1+]
C9H8O_132.056966	132.056966	C9H8O		C9H8O_132.057515	M[1+]
C20H16NaO4S_375.066206	375.066206	C20H16NaO4S		C20H16O4S_352.07693	M+Na[1+]
C7H8NaO_131.046791	131.046791	C7H8NaO		C7H8O_108.057515	M+Na[1+]
C16(C13)H28NO3_295.20977	295.20977	C16(C13)H28NO3		C17H27NO3_293.199094	M(C13)+H[1+]
C9H6ClN4S_236.99967	236.99967	C9H6ClN4S		C9H8ClN5S_253.018894	M-NH3+H[1+]
C2HO3S_104.96402	104.96402	C2HO3S		C2H4O5S_139.977944	M-H4O2+H[1+]
C45H77NaO4_705.579208	705.579208	C45H77NaO4		C44H76O2_636.584532	M+HCOONa[1+]
C34H64NO_502.498171	502.498171	C34H64NO		C34H67NO3_537.512095	M-H4O2+H[1+]
C10H15O4_199.09652	199.09652	C10H15O4		C10H12O3_180.078644	M+H2O+H[1+]
C19H29NaO2_156.102741	156.102741	C19H29NaO2		C19H28O2_288.20893	M+H+Na[2+]
C6(C13)H15Cl2N2O2P_261.027671	261.027671	C6(C13)H15Cl2N2O2P		C7H15Cl2N2O2P_260.02482	M(C13)[1+]
C11H18NO_180.13829	180.13829	C11H18NO		C11H17NO_179.131014	M+H[1+]
C24H34N2O_366.266565	366.266565	C24H34N2O		C24H34N2O_366.267114	M[1+]
H3CaO2_74.975382	74.975382	H3CaO2		CaO_55.957506	M+H2O+H[1+]
C8H6KNO6_251.990434	251.990434	C8H6KNO6		C7H5NO4_167.021858	M+HCOOK[1+]
C10HF19I_608.881406	608.881406	C10HF19I		C10F19I_607.87413	M+H[1+]
C3H3Cl2NNa_145.95353	145.95353	C3H3Cl2NNa		C3H3Cl2N_122.964254	M+Na[1+]
C12H25N2NaO8_174.074909	174.074909	C12H25N2NaO8		C12H24N2O8_324.153266	M+H+Na[2+]
C56H101NaO5_438.376814	438.376814	C56H101NaO5		C56H100O5_852.757076	M+H+Na[2+]
C14H12ClIN2NaO4_456.942306	456.942306	C14H12ClIN2NaO4		C14H12ClIN2O4_433.95303	M+Na[1+]
C10H5Cl4NNaO2_333.896715	333.896715	C10H5Cl4NNaO2		C10H5Cl4NO2_310.907439	M+Na[1+]
C10H12N5O_218.103565	218.103565	C10H12N5O		C10H15N5O3_253.117489	M-H4O2+H[1+]
C17H26NO3_292.19072	292.19072	C17H26NO3		C17H25NO3_291.183444	M+H[1+]
