	mz	charged_formula	selectivity	neutral_formula_mass	ion_relation
C15H17ClN3OS_322.077566	322.077566	C15H17ClN3OS		C16H16ClN3O3S_365.06009	M-CO2+H[1+]
C9(C13)H17O2_170.125706	170.125706	C9(C13)H17O2		C10H16O2_168.11503	M(C13)+H[1+]
C19H11Cl2O4S_404.974926	404.974926	C19H11Cl2O4S		C19H12Cl2O5S_421.97825	M-H2O+H[1+]
C20(C13)H29NO4_180.10598	180.10598	C20(C13)H29NO4		C21H27NO4_357.194008	M(C13)+2H[2+]
C7H5Cl3F3O3S_330.897194	330.897194	C7H5Cl3F3O3S		C7H2Cl3F3O2S_311.879318	M+H2O+H[1+]
C5H11O2_103.075356	103.075356	C5H11O2		C5H10O2_102.06808	M+H[1+]
C13H19N6O3_307.151279	307.151279	C13H19N6O3		C13H20N6O4_324.154603	M-H2O+H[1+]
C6H11N6O2_199.093797	199.093797	C6H11N6O2		C6H7N5O2_181.059974	M+NH4[1+]
C9H10NNaO5_236.052919	236.052919	C9H10NNaO5		C8H9NO3_167.058243	M+HCOONa[1+]
C14H12KO5S_331.003321	331.003321	C14H12KO5S		C14H12O5S_292.040545	M+K[1+]
C3(C13)H9Se_137.989798	137.989798	C3(C13)H9Se		C4H8Se_135.979122	M(C13)+H[1+]
C6H6Cl2O3_195.96885	195.96885	C6H6Cl2O3		C6H6Cl2O3_195.969399	M[1+]
HFeO_72.937126	72.937126	HFeO		FeO_71.92985	M+H[1+]
C21H22NaO14S_553.062303	553.062303	C21H22NaO14S		C21H22O14S_530.073027	M+Na[1+]
C10H14NO2_180.101905	180.101905	C10H14NO2		C10H13NO2_179.094629	M+H[1+]
C5H12NO2S2_182.030431	182.030431	C5H12NO2S2		C5H9NOS2_163.012555	M+H2O+H[1+]
C23H23O15_539.103181	539.103181	C23H23O15		C23H20O14_520.085305	M+H2O+H[1+]
C2H3Cl3O3P_210.88799	210.88799	C2H3Cl3O3P		C2H2Cl3O3P_209.880714	M+H[1+]
C6H12NNaO5S_234.04064	234.04064	C6H12NNaO5S		C5H11NO3S_165.045964	M+HCOONa[1+]
C24H31NaO8_471.198915	471.198915	C24H31NaO8		C23H30O6_402.204239	M+HCOONa[1+]
C11H21NaO4_241.141006	241.141006	C11H21NaO4		C10H20O2_172.14633	M+HCOONa[1+]
C8H7Cl3O4P_302.914205	302.914205	C8H7Cl3O4P		C8H6Cl3O4P_301.906929	M+H[1+]
C23H37O3_361.273686	361.273686	C23H37O3		C23H38O4_378.27701	M-H2O+H[1+]
C3H7O2S2_138.988226	138.988226	C3H7O2S2		C4H6O4S2_181.97075	M-CO2+H[1+]
C12H21NNaO4_266.136334	266.136334	C12H21NNaO4		C12H21NO4_243.147058	M+Na[1+]
C15(C13)H26O3_267.191046	267.191046	C15(C13)H26O3		C16H26O3_266.188195	M(C13)[1+]
C4H7N2NaO3S_93.003233	93.003233	C4H7N2NaO3S		C4H6N2O3S_162.009913	M+H+Na[2+]
C11H10Cl3NaO4_334.961489	334.961489	C11H10Cl3NaO4		C10H9Cl3O2_265.966813	M+HCOONa[1+]
C7H15N2O2_159.112802	159.112802	C7H15N2O2		C7H11NO2_141.078979	M+NH4[1+]
C4H9FN3O2_150.067329	150.067329	C4H9FN3O2		C4H5FN2O2_132.033506	M+NH4[1+]
C6H10NNaO4_91.524855	91.524855	C6H10NNaO4		C6H9NO4_159.053158	M+H+Na[2+]
C5H10OS3_181.988828	181.988828	C5H10OS3		C5H10OS3_181.989377	M[1+]
C6(C13)H6O4_155.02946	155.02946	C6(C13)H6O4		C7H6O4_154.026609	M(C13)[1+]
C14H17N2O_229.133574	229.133574	C14H17N2O		C14H16N2O_228.126263	M+H[1+]
C26H43O4_419.315551	419.315551	C26H43O4		C26H44O5_436.318875	M-H2O+H[1+]
C9H11N2NaO_93.037933	93.037933	C9H11N2NaO		C9H10N2O_162.079313	M+H+Na[2+]
C39H77KO10P_775.488212	775.488212	C39H77KO10P		C39H77O10P_736.525436	M+K[1+]
C14H10NO4_256.060398	256.060398	C14H10NO4		C14H11NO5_273.063722	M-H2O+H[1+]
C6H2Cl2FN2_190.957358	190.957358	C6H2Cl2FN2		C6HCl2FN2_189.950082	M+H[1+]
C6H6N5O_164.05665	164.05665	C6H6N5O		C6H7N5O2_181.059974	M-H2O+H[1+]
C25H32NO2_378.242685	378.242685	C25H32NO2		C25H35NO4_413.256609	M-H4O2+H[1+]
C7H12NaO4_183.062835	183.062835	C7H12NaO4		C7H12O4_160.073559	M+Na[1+]
C37H76N2O6P_675.543551	675.543551	C37H76N2O6P		C37H75N2O6P_674.536275	M+H[1+]
C6H12AsNaO10_342.961665	342.961665	C6H12AsNaO10		C5H11AsO8_273.966989	M+HCOONa[1+]
C3H8NaO10P2_288.948546	288.948546	C3H8NaO10P2		C3H8O10P2_265.95927	M+Na[1+]
C7H9ClFN5O4P_312.005952	312.005952	C7H9ClFN5O4P		C10H12ClFN5O6P_383.019776	M-C3H4O2+H[1+]
C16H11NaO7_169.019603	169.019603	C16H11NaO7		C16H10O7_314.042653	M+H+Na[2+]
C2H8NS5_205.925477	205.925477	C2H8NS5		C2H4S5_187.891654	M+NH4[1+]
C11H11KO8S_342.988385	342.988385	C11H11KO8S		C10H10O6S_258.019809	M+HCOOK[1+]
C15H34N_228.268605	228.268605	C15H34N		C18H37NO2_299.282429	M-C3H4O2+H[1+]
C13H19_175.148127	175.148127	C13H19		C13H18_174.140851	M+H[1+]
C14H9Cl6Na_410.880565	410.880565	C14H9Cl6Na		C14H9Cl5_351.914689	M+NaCl[1+]
C46(C13)H86O5_365.824914	365.824914	C46(C13)H86O5		C47H84O5_728.631876	M(C13)+2H[2+]
C6H6KN4O2_205.011851	205.011851	C6H6KN4O2		C6H6N4O2_166.049075	M+K[1+]
C25H42O8_235.143435	235.143435	C25H42O8		C25H40O8_468.272318	M+2H[2+]
C8H9Cl2O4P_269.961002	269.961002	C8H9Cl2O4P		C8H9Cl2O4P_269.961551	M[1+]
C26H42N3O6_492.306727	492.306727	C26H42N3O6		C27H41N3O7_519.294451	M-CO+H[1+]
C12H21O5_245.138399	245.138399	C12H21O5		C12H23NO5_261.157623	M-NH3+H[1+]
C3H2IN3NaO2_261.908446	261.908446	C3H2IN3NaO2		C3H2IN3O2_238.91917	M+Na[1+]
C7(C13)H11N3O3_198.082892	198.082892	C7(C13)H11N3O3		C8H11N3O3_197.080041	M(C13)[1+]
C15H13N2NaO2_138.043215	138.043215	C15H13N2NaO2		C15H12N2O2_252.089878	M+H+Na[2+]
C3(C13)H7O2_88.047455	88.047455	C3(C13)H7O2		C4H6O2_86.036779	M(C13)+H[1+]
C13H16NO3_234.112467	234.112467	C13H16NO3		C13H12O3_216.078644	M+NH4[1+]
C13(C13)H11ClF3NO2_159.022672	159.022672	C13(C13)H11ClF3NO2		C14H9ClF3NO2_315.027391	M(C13)+2H[2+]
C26H43N6O12S_663.265415	663.265415	C26H43N6O12S		C26H39N5O12S_645.231592	M+NH4[1+]
C18H19N_249.151201	249.151201	C18H19N		C18H19N_249.15175	M[1+]
C16H32NO4_302.232584	302.232584	C16H32NO4		C16H31NO4_301.225308	M+H[1+]
C3(C13)H3F7O_201.010063	201.010063	C3(C13)H3F7O		C4H3F7O_200.007212	M(C13)[1+]
C7H7Cl3NO2_241.953723	241.953723	C7H7Cl3NO2		C7H4Cl3NO_222.935847	M+H2O+H[1+]
C4H10NO_88.07569	88.07569	C4H10NO		C4H9NO_87.068414	M+H[1+]
C4H8NNaS2_78.499272	78.499272	C4H8NNaS2		C4H7NS2_133.001991	M+H+Na[2+]
C10H17N2O7_277.103062	277.103062	C10H17N2O7		C10H16N2O7_276.095751	M+H[1+]
C2H7OS4_174.937459	174.937459	C2H7OS4		C2H4S4_155.919583	M+H2O+H[1+]
C5H4KN2O4_194.979883	194.979883	C5H4KN2O4		C5H4N2O4_156.017107	M+K[1+]
C16H27O_235.205721	235.205721	C16H27O		C17H28O3_280.203845	M-HCOOH+H[1+]
C8H8ClN3NaO4S2_331.953752	331.953752	C8H8ClN3NaO4S2		C8H8ClN3O4S2_308.964476	M+Na[1+]
C20H31O2_303.231892	303.231892	C20H31O2		C20H30O2_302.22458	M+H[1+]
C9H17N2O5_233.113198	233.113198	C9H17N2O5		C9H16N2O5_232.105922	M+H[1+]
FeP_86.908149	86.908149	FeP		FeP_86.908698	M[1+]
C15H15NaO3_133.045423	133.045423	C15H15NaO3		C15H14O3_242.094294	M+H+Na[2+]
C8H18NO4_192.123069	192.123069	C8H18NO4		C8H15NO3_173.105193	M+H2O+H[1+]
C24H43O21_667.229134	667.229134	C24H43O21		C24H42O21_666.221858	M+H[1+]
C6H2Cl6_141.913834	141.913834	C6H2Cl6		C6Cl6_281.813116	M+2H[2+]
C10H15N4O_207.124066	207.124066	C10H15N4O		C13H18N4O3_278.13789	M-C3H4O2+H[1+]
C16(C13)H23O10_388.131973	388.131973	C16(C13)H23O10		C17H22O10_386.121297	M(C13)+H[1+]
C42(C13)H69O8P_372.737654	372.737654	C42(C13)H69O8P		C43H67O8P_742.457356	M(C13)+2H[2+]
C51H86ClNaO3_805.623573	805.623573	C51H86ClNaO3		C51H86O3_746.657697	M+NaCl[1+]
C16H32NO2_270.242784	270.242784	C16H32NO2		C17H31NO4_313.225308	M-CO2+H[1+]
C68H127O17P2_425.951069	425.951069	C68H127O17P2		C68H124O17P2_1274.831377	M+3H[3+]
C10H15O_151.11177	151.11177	C10H15O		C13H18O3_222.125594	M-C3H4O2+H[1+]
C9H17N3O2_199.131526	199.131526	C9H17N3O2		C9H13N2O2_181.097703	M+NH4[1+]
C6H6KNO5_211.995519	211.995519	C6H6KNO5		C5H5NO3_127.026943	M+HCOOK[1+]
C20H31NNaO3_178.109286	178.109286	C20H31NNaO3		C20H30NO3_332.22202	M+H+Na[2+]
C4H5Cl2KO2_194.937582	194.937582	C4H5Cl2KO2		C3H4Cl2_109.969006	M+HCOOK[1+]
C5H5N2_93.044689	93.044689	C5H5N2		C5H6N2O_110.048013	M-H2O+H[1+]
C12H5F21I_674.909516	674.909516	C12H5F21I		C12H4F21I_673.90224	M+H[1+]
C7H7INaO_256.943436	256.943436	C7H7INaO		C7H7IO_233.95416	M+Na[1+]
C4H7ClFN2NaO3_209.009946	209.009946	C4H7ClFN2NaO3		C4H7FN2O3_150.04407	M+NaCl[1+]
C10H21NaO2_98.071441	98.071441	C10H21NaO2		C10H20O2_172.14633	M+H+Na[2+]
C7H7KO5_211.00027	211.00027	C7H7KO5		C6H6O3_126.031694	M+HCOOK[1+]
C12H6N3O3S_272.012367	272.012367	C12H6N3O3S		C12H9N3O5S_307.026291	M-H4O2+H[1+]
C6H15N2O3_163.107718	163.107718	C6H15N2O3		C6H14N2O3_162.100442	M+H[1+]
C3H8S6_117.946963	117.946963	C3H8S6		C3H6S6_233.879374	M+2H[2+]
C10H3Cl8_402.773712	402.773712	C10H3Cl8		C10H4Cl8O_419.777036	M-H2O+H[1+]
C11H21KN_206.130176	206.130176	C11H21KN		C11H21N_167.1674	M+K[1+]
C8H19O3_163.132906	163.132906	C8H19O3		C8H16O2_144.11503	M+H2O+H[1+]
C78H150O17P2_710.516865	710.516865	C78H150O17P2		C78H148O17P2_1419.019177	M+2H[2+]
C22H25N2NaO5_210.082537	210.082537	C22H25N2NaO5		C22H24N2O5_396.168522	M+H+Na[2+]
C15H18N5_268.155636	268.155636	C15H18N5		C15H19N5O_285.15896	M-H2O+H[1+]
C23H33O3S_389.214406	389.214406	C23H33O3S		C24H32O4S_416.20213	M-CO+H[1+]
C10H7Br2FN2NaO2_386.875106	386.875106	C10H7Br2FN2NaO2		C10H7Br2FN2O2_363.88583	M+Na[1+]
C10H9ClNNaO5_282.013947	282.013947	C10H9ClNNaO5		C9H8ClNO3_213.019271	M+HCOONa[1+]
C3H10O6P2_203.994713	203.994713	C3H10O6P2		C3H10O6P2_203.995262	M[1+]
C9H4O5S_223.977909	223.977909	C9H4O5S		C9H5O6S_240.981233	M-H2O+H[1+]
C5H6KNO4S2_247.944746	247.944746	C5H6KNO4S2		C4H5NO2S2_162.97617	M+HCOOK[1+]
C34H63N4O3_575.489382	575.489382	C34H63N4O3		C35H62N4O4_602.477106	M-CO+H[1+]
C12H21NNaO8S_362.088063	362.088063	C12H21NNaO8S		C12H21NO8S_339.098787	M+Na[1+]
C12(C13)H11N3O5S2_354.016863	354.016863	C12(C13)H11N3O5S2		C13H11N3O5S2_353.014012	M(C13)[1+]
C19H33NaO2_158.118391	158.118391	C19H33NaO2		C19H32O2_292.24023	M+H+Na[2+]
C29H53NaO2_228.196642	228.196642	C29H53NaO2		C29H52O2_432.396731	M+H+Na[2+]
C35H59O3_527.445801	527.445801	C35H59O3		C35H62O5_562.459725	M-H4O2+H[1+]
C2(C13)H6N3O9_229.013255	229.013255	C2(C13)H6N3O9		C3H5N3O9_227.002579	M(C13)+H[1+]
C5H5ClNNaOS_185.97506	185.97506	C5H5ClNNaOS		C5H5NOS_127.009184	M+NaCl[1+]
C8H17NO6_111.552245	111.552245	C8H17NO6		C8H15NO6_221.089937	M+2H[2+]
C4H6BrN2_160.970886	160.970886	C4H6BrN2		C4H5BrN2_159.96361	M+H[1+]
C2H2Cl4_82.944982	82.944982	C2H2Cl4		C2Cl4_163.875411	M+2H[2+]
C48H87NO8P_836.616381	836.616381	C48H87NO8P		C48H86NO8P_835.609105	M+H[1+]
C14H23N6O4_339.177527	339.177527	C14H23N6O4		C14H19N5O4_321.143704	M+NH4[1+]
C12H17N2O3_237.123404	237.123404	C12H17N2O3		C12H16N2O3_236.116092	M+H[1+]
C10H7ClNNaO3_248.008469	248.008469	C10H7ClNNaO3		C10H7NO3_189.042593	M+NaCl[1+]
C11H15N2O2_207.112839	207.112839	C11H15N2O2		C11H12N2O_188.094963	M+H2O+H[1+]
C4H3ClF5KO3_268.940009	268.940009	C4H3ClF5KO3		C3H2ClF5O_183.971433	M+HCOOK[1+]
C33(C13)H68O3_262.759574	262.759574	C33(C13)H68O3		C34H66O3_522.501196	M(C13)+2H[2+]
C27H45NaO8_260.150085	260.150085	C27H45NaO8		C27H44O8_496.303618	M+H+Na[2+]
C8(C13)H4Cl3IO_360.840092	360.840092	C8(C13)H4Cl3IO		C9H4Cl3IO_359.837241	M(C13)[1+]
C40H69NaO5_326.251614	326.251614	C40H69NaO5		C40H68O5_628.506675	M+H+Na[2+]
C38H75O10P_722.509237	722.509237	C38H75O10P		C38H75O10P_722.509786	M[1+]
C6(C13)H13N5O_92.057156	92.057156	C6(C13)H13N5O		C7H11N5O_181.09636	M(C13)+2H[2+]
C5H9NNaO3_154.047519	154.047519	C5H9NNaO3		C5H9NO3_131.058243	M+Na[1+]
C47H85NO6P_790.610817	790.610817	C47H85NO6P		C48H84NO7P_817.598541	M-CO+H[1+]
C3H5F2O_95.030297	95.030297	C3H5F2O		C3H4F2O_94.023021	M+H[1+]
H3KNO3S_135.94614	135.94614	H3KNO3S		H3NO3S_96.983364	M+K[1+]
C24H35N2O2_383.269334	383.269334	C24H35N2O2		C27H38N2O4_454.283158	M-C3H4O2+H[1+]
C2H8(S34)O2PS_160.965583	160.965583	C2H8(S34)O2PS		C2H7O2PS2_157.962507	M(S34)+H[1+]
C11H21N2O_197.164837	197.164837	C11H21N2O		C11H17NO_179.131014	M+NH4[1+]
C11H19N2O3_227.139018	227.139018	C11H19N2O3		C11H18N2O3_226.131742	M+H[1+]
C8H15(S34)O2S_209.046597	209.046597	C8H15(S34)O2S		C8H14O2S2_206.043521	M(S34)+H[1+]
C3H10O7P_189.0159	189.0159	C3H10O7P		C3H7O6P_169.998024	M+H2O+H[1+]
C10H13NNaO2_202.083905	202.083905	C10H13NNaO2		C10H13NO2_179.094629	M+Na[1+]
C19H39KNO7P_464.217336	464.217336	C19H39KNO7P		C18H38NO5P_379.24876	M+HCOOK[1+]
C46H96N2O6P_267.899651	267.899651	C46H96N2O6P		C46H93N2O6P_800.677125	M+3H[3+]
H2NaO4S_120.956655	120.956655	H2NaO4S		H2O4S_97.967379	M+Na[1+]
H3Fe2O4_178.872491	178.872491	H3Fe2O4		Fe2O3_159.854615	M+H2O+H[1+]
C18H32KN2O24S3_795.013488	795.013488	C18H32KN2O24S3		C18H32N2O24S3_756.050712	M+K[1+]
C18H13Br2N2S3_510.860216	510.860216	C18H13Br2N2S3		C18H12Br2N2S3_509.85294	M+H[1+]
C7H8NO_122.059954	122.059954	C7H8NO		C8H7NO2_149.047678	M-CO+H[1+]
C28H44NNaO3_466.329141	466.329141	C28H44NNaO3		C27H43NO_397.334465	M+HCOONa[1+]
C11H15N2NaO5_279.095118	279.095118	C11H15N2NaO5		C10H14N2O3_210.100442	M+HCOONa[1+]
C10H8N3_170.071238	170.071238	C10H8N3		C10H9N3O_187.074562	M-H2O+H[1+]
C20H42NO2_328.321006	328.321006	C20H42NO2		C20H41NO2_327.31373	M+H[1+]
C13H11KN2O7S_378.999618	378.999618	C13H11KN2O7S		C12H10N2O5S_294.031042	M+HCOOK[1+]
C8H17(S34)O2S_211.062247	211.062247	C8H17(S34)O2S		C8H16O2S2_208.059171	M(S34)+H[1+]
C11H14ClNO_211.075843	211.075843	C11H14ClNO		C11H14ClNO_211.076392	M[1+]
C17H22ClN2NaO7_425.108577	425.108577	C17H22ClN2NaO7		C17H22N2O7_366.142701	M+NaCl[1+]
C14H11NaO9_173.014517	173.014517	C14H11NaO9		C14H10O9_322.032482	M+H+Na[2+]
C8H10ClN2O3S_249.009552	249.009552	C8H10ClN2O3S		C8H7ClN2O2S_229.991676	M+H2O+H[1+]
C20H12Cl3N5NaO11S3_721.865379	721.865379	C20H12Cl3N5NaO11S3		C20H12Cl3N5O11S3_698.876103	M+Na[1+]
C3H13NNaO9P3_161.484522	161.484522	C3H13NNaO9P3		C3H12NO9P3_298.972491	M+H+Na[2+]
C28H61_132.491894	132.491894	C28H61		C28H58_394.453852	M+3H[3+]
C3H6BrFNO_169.961126	169.961126	C3H6BrFNO		C3H5BrFNO_168.95385	M+H[1+]
C6H8NO_110.06004	110.06004	C6H8NO		C6H7NO_109.052764	M+H[1+]
C38(C13)H47N11O18_958.312905	958.312905	C38(C13)H47N11O18		C39H47N11O18_957.310054	M(C13)[1+]
C11(C13)H14O2S_111.536876	111.536876	C11(C13)H14O2S		C12H12O2S_220.0558	M(C13)+2H[2+]
C17(C13)H31NO2_147.118891	147.118891	C17(C13)H31NO2		C18H29NO2_291.219829	M(C13)+2H[2+]
C11H11N3O2S_249.056648	249.056648	C11H11N3O2S		C11H11N3O2S_249.057197	M[1+]
C3H5NaO2S3_192.942188	192.942188	C3H5NaO2S3		C2H4S3_123.947512	M+HCOONa[1+]
C9H11Cl3NaO6_342.951397	342.951397	C9H11Cl3NaO6		C9H11Cl3O6_319.962121	M+Na[1+]
C7H19Cl2N2O3P_140.024968	140.024968	C7H19Cl2N2O3P		C7H17Cl2N2O3P_278.035384	M+2H[2+]
C3H6KN2O2_141.005703	141.005703	C3H6KN2O2		C3H6N2O2_102.042927	M+K[1+]
C28H49NaO3_228.178449	228.178449	C28H49NaO3		C28H48O3_432.360345	M+H+Na[2+]
C9(C13)H15N5O5_143.054811	143.054811	C9(C13)H15N5O5		C10H13N5O5_283.091669	M(C13)+2H[2+]
C10H4N_138.033754	138.033754	C10H4N		C10H7NO2_173.047678	M-H4O2+H[1+]
C8H18NO_144.138288	144.138288	C8H18NO		C8H14O_126.104465	M+NH4[1+]
C12H15N4O_231.124002	231.124002	C12H15N4O		C12H16N4O2_248.127326	M-H2O+H[1+]
C7H10KOS_181.008012	181.008012	C7H10KOS		C7H10OS_142.045236	M+K[1+]
C(C13)H4O6S_156.97571	156.97571	C(C13)H4O6S		C2H4O6S_155.972859	M(C13)[1+]
C17H23N4O7_395.15616	395.15616	C17H23N4O7		C17H20N4O6_376.138284	M+H2O+H[1+]
C4H8N2NaO3_155.042768	155.042768	C4H8N2NaO3		C4H8N2O3_132.053492	M+Na[1+]
C4H8NaO9P_254.987615	254.987615	C4H8NaO9P		C3H7O7P_185.992939	M+HCOONa[1+]
C12H28KN4O_283.189088	283.189088	C12H28KN4O		C12H28N4O_244.226312	M+K[1+]
C2H10NO2S_112.042673	112.042673	C2H10NO2S		C2H6O2S_94.00885	M+NH4[1+]
C18H14Br2N2NaO4S_534.893376	534.893376	C18H14Br2N2NaO4S		C18H14Br2N2O4S_511.9041	M+Na[1+]
C16H32NO_254.247839	254.247839	C16H32NO		C16H28O_236.214016	M+NH4[1+]
C4H8NaO_95.046791	95.046791	C4H8NaO		C4H8O_72.057515	M+Na[1+]
C17H20ClN4_105.045334	105.045334	C17H20ClN4		C17H17ClN4_312.114174	M+3H[3+]
C10H12O5_106.033688	106.033688	C10H12O5		C10H10O5_210.052823	M+2H[2+]
C15H8Br2N9O5_551.900996	551.900996	C15H8Br2N9O5		C15H5Br2N9O4_532.88312	M+H2O+H[1+]
C27H33NaO18S_350.063744	350.063744	C27H33NaO18S		C27H32O18S_676.130935	M+H+Na[2+]
C2H7FIO_192.952056	192.952056	C2H7FIO		C2H4FI_173.93418	M+H2O+H[1+]
C38H76NO6_642.566713	642.566713	C38H76NO6		C38H72O6_624.53289	M+NH4[1+]
C14H20N_202.159105	202.159105	C14H20N		C15H21NO2_247.157229	M-HCOOH+H[1+]
C40(C13)H65O14_782.440283	782.440283	C40(C13)H65O14		C41H64O14_780.429607	M(C13)+H[1+]
C6H15NaO12P2_181.996301	181.996301	C6H15NaO12P2		C6H14O12P2_339.996049	M+H+Na[2+]
C5F11INa_418.876186	418.876186	C5F11INa		C5F11I_395.88691	M+Na[1+]
C5H6KN2O3_181.000618	181.000618	C5H6KN2O3		C5H6N2O3_142.037842	M+K[1+]
C14H11NaO5_141.024688	141.024688	C14H11NaO5		C14H10O5_258.052823	M+H+Na[2+]
C9H10ClNaO4S_272.995856	272.995856	C9H10ClNaO4S		C9H10O4S_214.02998	M+NaCl[1+]
C4H10N3O2_132.076753	132.076753	C4H10N3O2		C4H9N3O2_131.069477	M+H[1+]
C11H18N3O2_224.139382	224.139382	C11H18N3O2		C12H17N3O4_267.121906	M-CO2+H[1+]
C12H3Cl10O_512.706403	512.706403	C12H3Cl10O		C12Cl10_493.688527	M+H2O+H[1+]
C39H67O4_599.503351	599.503351	C39H67O4		C39H68O5_616.506675	M-H2O+H[1+]
C7H18N3O4S_240.101251	240.101251	C7H18N3O4S		C7H14N2O4S_222.067428	M+NH4[1+]
C17H20NO2_270.14889	270.14889	C17H20NO2		C17H17NO_251.131014	M+H2O+H[1+]
C44H90KNO7P_814.608267	814.608267	C44H90KNO7P		C44H90NO7P_775.645491	M+K[1+]
C2H10NO3S2_160.009658	160.009658	C2H10NO3S2		C2H6O3S2_141.975835	M+NH4[1+]
C51(C13)H103NO7P_295.24959	295.24959	C51(C13)H103NO7P		C52H100NO7P_881.723741	M(C13)+3H[3+]
C9H13N2O2_181.097189	181.097189	C9H13N2O2		C9H12N2O2_180.089878	M+H[1+]
C17H13ClN4NaO_347.067065	347.067065	C17H13ClN4NaO		C17H13ClN4O_324.077789	M+Na[1+]
C6H10Cl2NaSi_202.982158	202.982158	C6H10Cl2NaSi		C6H10Cl2Si_179.992882	M+Na[1+]
C58H75N13O21S2_676.731545	676.731545	C58H75N13O21S2		C58H73N13O21S2_1351.448538	M+2H[2+]
C31H20KO11_607.063337	607.063337	C31H20KO11		C31H20O11_568.100561	M+K[1+]
C2H4NaS3_146.936788	146.936788	C2H4NaS3		C2H4S3_123.947512	M+Na[1+]
C9H13ClNNa_194.070675	194.070675	C9H13ClNNa		C9H13N_135.104799	M+NaCl[1+]
C6H10NaO6_201.037014	201.037014	C6H10NaO6		C6H10O6_178.047738	M+Na[1+]
C5H5N4_121.050951	121.050951	C5H5N4		C6H6N4O2_166.049075	M-HCOOH+H[1+]
C20H17N2O3_333.123398	333.123398	C20H17N2O3		C23H20N2O5_404.137222	M-C3H4O2+H[1+]
C13H12NO2_214.086304	214.086304	C13H12NO2		C13H14N2O2_230.105528	M-NH3+H[1+]
C24H44NO2_378.336691	378.336691	C24H44NO2		C24H41NO_359.318815	M+H2O+H[1+]
C10H17N2O8_293.097941	293.097941	C10H17N2O8		C10H16N2O8_292.090665	M+H[1+]
C25H36O6_216.125046	216.125046	C25H36O6		C25H34O6_430.235539	M+2H[2+]
C9H12Cl3NaO9_392.951712	392.951712	C9H12Cl3NaO9		C8H11Cl3O7_323.957036	M+HCOONa[1+]
C12H24NaO3_239.161821	239.161821	C12H24NaO3		C12H24O3_216.172545	M+Na[1+]
C66(C13)H115O6_338.956973	338.956973	C66(C13)H115O6		C67H112O6_1012.845891	M(C13)+3H[3+]
C3(C13)H4S2_116.978293	116.978293	C3(C13)H4S2		C4H4S2_115.975442	M(C13)[1+]
C12H25N2O6_293.17071	293.17071	C12H25N2O6		C12H21NO6_275.136887	M+NH4[1+]
C5H11O6_167.055049	167.055049	C5H11O6		C5H8O5_148.037173	M+H2O+H[1+]
C4H8ClNaO2S_178.990377	178.990377	C4H8ClNaO2S		C4H8O2S_120.024501	M+NaCl[1+]
C10H13Cl2O4P_297.992302	297.992302	C10H13Cl2O4P		C10H13Cl2O4P_297.992851	M[1+]
C12H9BrOS_279.955201	279.955201	C12H9BrOS		C12H9BrOS_279.95575	M[1+]
C20H36O4_170.130131	170.130131	C20H36O4		C20H34O4_338.24571	M+2H[2+]
C23H43O9_463.290074	463.290074	C23H43O9		C24H42O10_490.277798	M-CO+H[1+]
C4H10ClNaO4_181.023785	181.023785	C4H10ClNaO4		C4H10O4_122.057909	M+NaCl[1+]
C15H26NaO_245.187641	245.187641	C15H26NaO		C15H26O_222.198365	M+Na[1+]
C46H77NaO15_446.257487	446.257487	C46H77NaO15		C46H76O15_868.518422	M+H+Na[2+]
C6H4Cl2N3O_203.972593	203.972593	C6H4Cl2N3O		C6H3Cl2N3O_202.965317	M+H[1+]
C18H6Cl4F9NNaO6S_697.841898	697.841898	C18H6Cl4F9NNaO6S		C18H6Cl4F9NO6S_674.852622	M+Na[1+]
C39H55O_539.424657	539.424657	C39H55O		C40H54O2_566.412381	M-CO+H[1+]
C6H8ClNaOS_186.995462	186.995462	C6H8ClNaOS		C6H8OS_128.029586	M+NaCl[1+]
C47H94N2O6P_813.684401	813.684401	C47H94N2O6P		C47H93N2O6P_812.677125	M+H[1+]
C13(C13)H18N3O2_261.142753	261.142753	C13(C13)H18N3O2		C14H17N3O2_259.132077	M(C13)+H[1+]
C8H16N_126.127805	126.127805	C8H16N		C9H17NO2_171.125929	M-HCOOH+H[1+]
C15H15NaO4_141.042881	141.042881	C15H15NaO4		C15H14O4_258.089209	M+H+Na[2+]
C9(C13)H7N3S_202.038919	202.038919	C9(C13)H7N3S		C10H7N3S_201.036068	M(C13)[1+]
C6H4Cl2Na_168.958282	168.958282	C6H4Cl2Na		C6H4Cl2_145.969006	M+Na[1+]
C12H16NaO5_263.08905	263.08905	C12H16NaO5		C12H16O5_240.099774	M+Na[1+]
C25H45NO4_423.33431	423.33431	C25H45NO4		C25H45NO4_423.334859	M[1+]
C17H26O2_262.192731	262.192731	C17H26O2		C17H26O2_262.19328	M[1+]
C27H52N2O4_468.392194	468.392194	C27H52N2O4		C27H49N2O3_449.374318	M+H2O+H[1+]
C20H24ClO4_121.044889	121.044889	C20H24ClO4		C20H21ClO4_360.112837	M+3H[3+]
C14H25O3_241.179785	241.179785	C14H25O3		C14H26O4_258.183109	M-H2O+H[1+]
C7H13O_113.096091	113.096091	C7H13O		C7H12O_112.088815	M+H[1+]
C13H21O2_209.153606	209.153606	C13H21O2		C13H20O2_208.14633	M+H[1+]
C15H11ClN2NaO_293.045267	293.045267	C15H11ClN2NaO		C15H11ClN2O_270.055991	M+Na[1+]
